wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,ina_current_raw_mA,ina_bus_voltage_v,ina_power_mw,ina_current_offset_mA,ina_current_corr_mA,ina_current_signed_mA,pwm_hw,theta_imu,theta_encoder,omega_imu,omega_encoder,alpha_imu,alpha_linear,alpha_encoder,theta_imu_online,theta_encoder_online,omega_imu_online,omega_encoder_online,alpha_imu_online,alpha_linear_online,alpha_encoder_online,ina_current_signed_online_mA,theta,omega,alpha,alpha_sim,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1776430087.4335544,5.8790812492370605,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,436.0,28.5,0.0,0.0,0.0,1.3626364038813563,-0.48629075473257244,2.188369035720825,0.0,35.24279594421387,9.20167618519676,0.0,1.2726125344482098,-0.5479484684148439,1.7924204817864524,13.534620076596163,86.9155362294966,13.843631236370882,-2971.0141631552547,5.523989173030223e-07,0.0,0.0,0.0,0.0,-864.0,339243712.0,1.3626364038813563,2.188369035720825,-0.9977166183175539,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,21.95309435249472,21.95309435249472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.432775444244807e-16,0.0
1776430087.4466558,5.8921825885772705,manual,0.0,0.0,0.0,0.0,31.399999618530273,15.168000221252441,476.0,28.5,2.8999996185302734,0.0,0.0,1.4066800647445743,-0.451555700823103,2.2213034629821777,34.73505390946946,32.93442726135254,9.348302883395085,34735.053909469454,1.2967446899015553,-0.5305977702483305,1.869619418401683,17.350698166513357,77.19893661523066,13.034472132835239,3816.0780899171928,4.5296711218847835e-07,0.0,0.0,0.0,0.0,-863.0,339243712.0,1.4066800647445743,2.2213034629821777,0.17993133251803095,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,22.251879408485735,22.251879408485735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.930607651612472e-16,0.0
1776430087.4605858,5.9061126708984375,manual,0.0,0.0,0.0,0.0,31.600000381469727,15.17199993133545,478.0,28.5,3.1000003814697266,0.0,0.0,1.4508255717762195,-0.4168206469136335,2.187481164932251,34.73505390946946,-33.82229804992676,3.2194535965859643,0.0,1.324479248638995,-0.5101178880480851,1.9268345327771854,20.479882200245456,57.21511437550233,11.26776879631037,3129.184033732098,3.714330319945523e-07,0.0,0.0,0.0,0.0,-862.0,339243744.0,1.4508255717762195,2.187481164932251,-1.152082667301968,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,23.4162649465407,23.4162649465407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8679611175099078e-16,0.0
1776430087.4733374,5.9188642501831055,manual,0.0,0.0,0.0,0.0,25.799999237060547,15.17199993133545,390.0,28.5,-2.700000762939453,-0.0,0.0,1.4724881866923154,-0.38208559300416406,2.148865222930908,34.73505390946946,-38.61594200134277,1.2126750084587172,0.0,1.351120857488593,-0.48707207494017934,1.9668000570048556,23.045813107905776,39.965524227670215,9.457851914497073,2565.930907660321,3.0457508623553287e-07,0.0,0.0,0.0,0.0,-861.0,339243744.0,1.4724881866923154,2.148865222930908,-3.085642119317284,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,29.04999276750027,29.04999276750027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842593017012989e-16,0.0
1776430087.486194,5.931720733642578,manual,0.0,0.0,0.0,0.0,25.600000381469727,15.17199993133545,406.0,28.5,-2.8999996185302734,-0.0,0.0,1.4724881866923154,-0.31261548518522514,2.148865222930908,69.47010781893891,0.0,1.2126750084587172,34735.053909469454,1.3729669767452632,-0.4556698887842876,1.9995717868715452,31.40218615589174,32.771729866689576,7.97372007141017,8356.373047985966,2.49751570713137e-07,0.0,0.0,0.0,0.0,-859.0,339243776.0,1.4724881866923154,2.148865222930908,-1.3802407862198647,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,23.718706905108252,23.718706905108252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.011973928239294e-15,0.0
1776430087.502579,5.948105812072754,manual,0.0,0.0,0.0,0.0,26.0,15.17199993133545,394.0,28.5,-2.5,-0.0,0.0,1.5349028944724257,-0.24314537736628622,1.9861462116241455,69.47010781893891,-162.7190113067627,-5.47954348000173,0.0,1.4021154419361526,-0.4174154767290474,1.9971551833270134,38.25441205524023,-2.4166035445318315,5.552132632156029,6852.225899348493,2.0479628798477235e-07,0.0,0.0,0.0,0.0,-857.0,339243808.0,1.5349028944724257,1.9861462116241455,-9.11591385083779,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,79.8114961472989,79.8114961472989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6468037418454346e-16,0.0
1776430087.5130606,5.958587408065796,manual,0.0,0.0,0.0,0.0,28.799999237060547,15.17199993133545,432.0,28.5,0.2999992370605469,0.0,0.0,1.573323886138766,-0.20841032345681676,1.890716314315796,34.73505390946946,-95.42989730834961,-3.672572270753953,-34735.053909469454,1.432932961892623,-0.3797945491400459,1.9779961869049942,37.6209275890015,-19.158996422019033,3.891685749632233,-633.4844662387368,1.6793295614751333e-07,0.0,0.0,0.0,0.0,-856.0,339243808.0,1.573323886138766,1.890716314315796,-10.395175266010318,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,96.95552887427458,96.95552887427458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.137546126392322e-17,0.0
1776430087.5260835,5.9716103076934814,manual,0.0,0.0,0.0,0.0,28.799999237060547,15.17199993133545,432.0,28.5,0.2999992370605469,0.0,0.0,1.5914785797337485,-0.20841032345681676,1.7945761680603027,0.0,-96.14014625549316,-7.8416499422834,-34735.053909469454,1.4614711731040257,-0.3489453885170647,1.94498058351295,30.84916062298123,-33.015603392044376,1.7796853250874194,-6771.766966020266,1.3770502404096093e-07,0.0,0.0,0.0,0.0,-856.0,339243808.0,1.5914785797337485,1.7945761680603027,-9.220848377467009,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,80.23211076634692,80.23211076634692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99137964478381e-16,0.0
1776430087.540013,5.98553991317749,manual,0.0,0.0,0.0,0.0,25.399999618530273,15.175999641418457,394.0,28.5,-3.1000003814697266,-0.0,0.0,1.5914785797337485,-0.13894021563787784,1.7945761680603027,69.47010781893891,0.0,-7.8416499422834,69470.10781893891,1.4848725062973758,-0.3111444573988111,1.9179077887314735,37.800931118253615,-27.07279478147639,0.047844976960672136,6951.770495272384,1.1291811971358798e-07,0.0,0.0,0.0,0.0,-854.0,339243840.0,1.5914785797337485,1.7945761680603027,-2.2137881773310646,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,24.145880072045305,24.145880072045305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6812225552670305e-15,0.0
1776430087.5549898,6.000516653060913,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.175999641418457,436.0,28.5,0.20000076293945312,0.0,0.0,1.6401035983989385,-0.10420516172840838,1.4398431777954102,34.73505390946946,-354.7329902648926,-13.357641283450018,-34735.053909469454,1.512814102875657,-0.2738953841781386,1.8318561587629822,37.24907322067247,-86.05162996849131,-2.365142549913252,-551.8578975811461,9.259285816514215e-08,0.0,0.0,0.0,0.0,-853.0,339243872.0,1.6401035983989385,1.4398431777954102,-14.699267050821584,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,169.88048629097403,169.88048629097403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0424505870648206e-15,0.0
