wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,ina_current_raw_mA,ina_bus_voltage_v,ina_power_mw,ina_current_offset_mA,ina_current_corr_mA,ina_current_signed_mA,pwm_hw,theta_imu,theta_encoder,omega_imu,omega_encoder,alpha_imu,alpha_linear,alpha_encoder,theta_imu_online,theta_encoder_online,omega_imu_online,omega_encoder_online,alpha_imu_online,alpha_linear_online,alpha_encoder_online,ina_current_signed_online_mA,theta,omega,alpha,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1775489757.3314602,18.15925359725952,burst,0.0,0.0,0.0,-0.00017084604462270562,26.200000762939453,15.595999717712402,406.0,28.700000762939453,-2.5,-0.0,0.0,-1.2050481178437318,-1.5292408684140808,3.6333913803100586,0.0,336.35759353637695,25.5939471398655,0.0,-1.2770093915066512,-1.4999616490298577,1.3619172006664622,-6.427145718488117,498.6162833363993,19.550210033207854,1410.8368650339758,23.655074728951497,0.0005579455611829507,0.0017244021985188978,-0.0019453460183860502,-459.0,120694560.0,-1.2050481178437318,3.6333913803100586,56.97282455739826,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2312.527026383448,2312.527026383448,0.9999999610870953,-3.696751465081811e-20,-6.466163210038119e-23,0.00027897277697292924,0.0,0.0,0.0017244021985188978,-0.0005096806114831675,-2.23510155696291e-07,2.4312166794523636e-15
1775489757.345264,18.173057317733765,burst,0.0,0.0,0.0,-0.00017137570312215938,26.0,15.600000381469727,406.0,28.700000762939453,-2.700000762939453,-0.0,0.0,-1.2050481178437318,-1.4959965017094268,3.6333913803100586,33.24436670465403,0.0,25.5939471398655,33244.36670465403,-1.2640563622473258,-1.4992479225121802,1.7707825530023098,0.7137265176774683,408.8653523358475,20.63808271240623,7140.8722361655855,19.397161277740228,0.0005596442465247625,0.0016986853418116492,-0.0018630380668193459,-458.0,120694576.0,-1.2050481178437318,3.6333913803100586,51.11677503847777,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,1869.4210411173037,1869.4210411173037,0.9999999608497911,-3.186859205516128e-20,-1.1636122132452381e-23,0.0002798221196106839,0.0,0.0,0.0016986853418116492,-0.00048811592868471237,-2.1675932219672819e-07,-5.562395374320448e-15
1775489757.3589103,18.1867036819458,burst,0.0,0.0,0.0,-0.00017189746256383824,29.299999237060547,15.595999717712402,448.0,28.700000762939453,0.5999984741210938,0.0,0.0,-1.1664755175198998,-1.429507768300119,3.9321980476379395,66.48873340930783,298.80666732788086,27.55769611064674,33244.366704653796,-1.246491810196389,-1.4866946947540092,2.159837342036723,12.553227758170934,389.05478903441355,21.883613124089525,11839.501240493464,15.905672247746988,0.0005613171367139793,0.0016728901892167517,-0.0018902582544401206,-456.0,120694592.0,-1.1664755175198998,3.9321980476379395,-5.880504395017386,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,69.62311781883432,69.62311781883432,0.9999999606153854,-3.104767043757069e-20,-6.224482193812212e-23,0.00028065856467244735,0.0,0.0,0.0016728901892167517,-0.000495247615766744,-2.2259634878088455e-07,-6.158899198126308e-15
1775489757.372383,18.20017647743225,burst,0.0,0.0,0.0,-0.0001724112988988015,26.5,15.595999717712402,436.0,28.700000762939453,-2.200000762939453,-0.0,0.0,-1.1664755175198998,-1.3297746681861573,3.9321980476379395,99.73310011396164,0.0,27.55769611064674,33244.36670465381,-1.232088877514621,-1.4584490899717961,2.4788622690449422,28.24560478221326,319.02492700821915,22.904948061669824,15692.377024042327,13.042651243152532,0.0005629641546436652,0.001647017929685711,-0.0019203334272431297,-453.0,120694624.0,-1.1664755175198998,3.9321980476379395,-14.566104313194739,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,193.91379107895895,193.91379107895895,0.9999999603839215,-5.217522309472638e-20,-7.757801619773352e-23,0.00028148207360476134,0.0,0.0,0.001647017929685711,-0.000503127308886277,-2.2883615612979063e-07,4.037104836775625e-15
1775489757.3844633,18.21225666999817,burst,0.0,0.0,0.0,-0.00017291718844330065,26.5,15.595999717712402,400.0,28.700000762939453,-2.200000762939453,-0.0,0.0,-1.1664755175198998,-1.3297746681861573,3.9321980476379395,0.0,0.0,27.55769611064674,-99733.10011396164,-1.2202784727155713,-1.4352876940503814,2.7404627091916822,23.161395921414876,261.60044014673974,23.742442710485673,-5084.208860798386,10.694974019385077,0.0005645852243993893,0.0016210697557240438,-0.002147993404912694,-453.0,120694624.0,-1.1664755175198998,3.9321980476379395,-14.190801023953775,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,186.35601382962372,186.35601382962372,0.9999999601554419,3.3803512741460356e-20,-3.7249441755939385e-23,0.00028229260845042065,0.0,0.0,0.0016210697557240438,-0.000562774215641994,-2.589165511501613e-07,-8.606459075911787e-13
1775489757.3974473,18.22524070739746,burst,0.0,0.0,0.0,-0.00017341510787987092,26.5,15.595999717712402,400.0,28.700000762939453,-2.200000762939453,-0.0,0.0,-0.9321217423610744,-1.3297746681861573,5.242827892303467,0.0,1310.6298446655273,40.1779111837294,0.0,-1.168410261251762,-1.416295349394821,3.1908884421518033,18.9923446555602,450.42573296012154,26.700827035669544,-4169.051265854677,8.769878695895764,0.0005661802712627256,0.001595046863336316,-0.0020042219216918496,-453.0,120694624.0,-0.9321217423610744,5.242827892303467,10.544628046599552,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,150.8878547006117,150.8878547006117,0.9999999599299889,-6.259033362441689e-20,3.814024332407877e-23,0.000283090131850222,0.0,0.0,0.001595046863336316,-0.0005251060893850546,-2.4429976343858643e-07,8.012312025851763e-13
1775489757.4118884,18.239681720733643,burst,0.0,0.0,0.0,-0.0001739050342584059,28.700000762939453,15.600000381469727,448.0,28.700000762939453,0.0,0.0,0.0,-0.9321217423610744,-1.2632859347768495,5.242827892303467,66.48873340930783,0.0,40.1779111837294,66488.73340930782,-1.1258783278514382,-1.3887536547635861,3.560237543179103,27.541694631234773,369.3491010272997,29.12670218232032,8549.349975674573,7.1913005306345275,0.0005677492217146967,0.0015689504519710196,-0.0018071038893034202,-451.0,120694640.0,-0.9321217423610744,5.242827892303467,79.83425276824576,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,4534.684055812384,4534.684055812384,0.9999999597076039,-1.3990371058060296e-19,-1.7309494001218862e-23,0.00028387460704468637,0.0,0.0,0.0015689504519710196,-0.0004734611689315305,-2.2266713005384868e-07,5.9170062888002145e-15
1775489757.4246092,18.252402544021606,burst,0.0,0.0,0.0,-0.0001743869449972156,25.899999618530273,15.595999717712402,440.0,28.700000762939453,-2.8000011444091797,-0.0,0.0,-0.8784097746336185,-1.1967972013675419,5.414246559143066,66.48873340930761,171.4186668395996,47.00079284771757,-2.1316282072803006e-10,-1.0813339882722306,-1.3542014931522983,3.8939591660526163,34.552161611287886,333.7216228735137,32.34403850209183,7010.466980053113,5.896866435120313,0.000569292003439162,0.0015427817244652794,-0.0020571567510493088,-449.0,120694640.0,-0.8784097746336185,5.414246559143066,53.25041343185881,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2062.1843631066654,2062.1843631066654,0.9999999594883281,2.378133666142505e-21,5.012967766607298e-23,0.0002846459978757533,0.0,0.0,0.0015427817244652794,-0.0005389750103428018,-2.561452817617921e-07,-8.208075997313386e-13
1775489757.4377618,18.265555143356323,burst,0.0,0.0,0.0,-0.00017486081788406708,28.899999618530273,15.595999717712402,452.0,28.700000762939453,0.1999988555908203,0.0,0.0,-0.8784097746336185,-1.130308467958234,5.414246559143066,66.48873340930783,0.0,47.00079284771757,2.1316282072803006e-10,-1.0448076298172804,-1.3139007486173668,4.167610896808897,40.300744534931475,273.65173075628127,34.98225428430446,5748.582923643591,4.835430476798657,0.0005708085453261515,0.001516541886989419,-0.0019950305493302346,-447.0,120694656.0,-0.8784097746336185,5.414246559143066,21.708586091835457,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,407.0516827974459,407.0516827974459,0.9999999592722019,1.3642322596614568e-19,3.8946605926353394e-23,0.0002854042687884473,0.0,0.0,0.001516541886989419,-0.0005226979458794291,-2.509692159017873e-07,7.854005050987605e-13
1775489757.4517686,18.27956199645996,burst,0.0,0.0,0.0,-0.0001753266310772083,29.600000381469727,15.595999717712402,468.0,28.700000762939453,0.8999996185302734,0.0,0.0,-0.5897835416356115,-1.0305753678442724,5.984251976013184,99.73310011396164,570.0054168701172,42.20878343476709,33244.36670465381,-0.9629032939445801,-1.2629021800782099,4.494606291065669,50.998568539156906,326.99539425677176,36.28302953138774,10697.824004225431,3.965052990974899,0.0005722987774751429,0.0014902321489913583,-0.0018783475348383412,-444.0,120694680.0,-0.5897835416356115,5.984251976013184,-9.148324753365067,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,149.78643259946878,149.78643259946878,0.999999959059265,1.2123444405553629e-19,5.233139423743627e-23,0.0002861493848325168,0.0,0.0,0.0014902321489913583,-0.0004921269981910588,-2.3865132902040496e-07,6.293162793608735e-16
