wall_elapsed,theta,omega,alpha,theta_imu,theta_imu_online,omega_imu,omega_imu_online,alpha_linear,alpha_linear_online,cmd_u_raw,cmd_u,pwm_hw,hw_pwm,ina_current_corr_mA,ina_current_signed_online_mA,tau_cmd,tau_motor,tau_visc,tau_coul,enc_count
3.7131119139958173,-0.007292674057463365,-0.0026413713820451624,0.004857465616651374,-0.007271631657563837,-0.007292674057463365,-0.0023471377789974213,-0.0026413713820451624,0.004857465616651374,0.004857465616651374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.72850736300461,-0.007292798974204462,-0.002556451399817346,-0.0022556172142052244,-0.007293715030305847,-0.007292798974204462,-0.0021695937030017376,-0.002556451399817346,-0.0022556172142052244,-0.0022556172142052244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.7438858750101645,-0.007294143405993262,-0.002710522550145098,-0.007544908681612797,-0.007304002572444457,-0.007294143405993262,-0.0034124022349715233,-0.002710522550145098,-0.007544908681612797,-0.007544908681612797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.75942523899721,-0.007286807478474901,-0.00278892399289502,-0.002540435357009291,-0.00723301067667359,-0.007286807478474901,-0.0031460861209779978,-0.00278892399289502,-0.002540435357009291,-0.002540435357009291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.7750366470136214,-0.007280590190239561,-0.00278929730859151,-0.0005391012268905482,-0.0072349967431804,-0.007280590190239561,-0.0027909979689866304,-0.00278929730859151,-0.0005391012268905482,-0.0005391012268905482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.7905370219959877,-0.00727645885331153,-0.0028055823943022432,-0.0009559781883550916,-0.007246162382505972,-0.00727645885331153,-0.0028797700069844723,-0.0028055823943022432,-0.0009559781883550916,-0.0009559781883550916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.806041069008643,-0.0072727967136593215,-0.0028189361645850446,-0.0007826147247694121,-0.0072459410228764565,-0.0072727967136593215,-0.0028797700069844723,-0.0028189361645850446,-0.0007826147247694121,-0.0007826147247694121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.82160347601166,-0.007271592066641597,-0.002829886256216942,0.0018984849821650912,-0.0072627579885116145,-0.007271592066641597,-0.0028797700069844723,-0.002829886256216942,0.0018984849821650912,0.0018984849821650912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.8372888090088964,-0.007271906271012882,-0.002758970539066556,0.004666601439628146,-0.007274210436402306,-0.007271906271012882,-0.0024359100498259068,-0.002758970539066556,0.004666601439628146,0.004666601439628146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
3.8527019350149203,-0.007268361701797467,-0.002684840642254112,0.00023695272926735345,-0.007242368194217752,-0.007268361701797467,-0.0023471377789974213,-0.002684840642254112,0.00023695272926735345,0.00023695272926735345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.0
