trajectory,t,tau_residual_target,tau_residual_pred,theta_real,theta_sim,omega_real,omega_sim,alpha_real,alpha_sim,motor_input_a,tau_motor_sim,tau_visc_sim,tau_coul_sim,tau_residual_sim,tau_res_sim,tau_net_sim
chrono_run_1.finalized,0.5460047721862794,0.3280852919434971,0.29328320533193947,1.5712815341417048,-0.4589456643711595,-0.0028687931581,-7.12642095631597,0.0018939872516554324,18874.882921356635,0.0,0.0,-0.19844076921992512,-0.00044179169191864464,-0.2844077322992187,-0.4832902932110624,0.4832902932110624
chrono_run_1.finalized,0.559213161468506,0.3280920283973217,0.29328618776187004,1.5712830497890684,-0.5485597325551695,-0.0027748951898615,-6.784632574737648,0.0025126389414880934,-3649.87099779086,0.0,0.0,-0.1889234042247063,-0.00044179169191864464,-0.295995399549408,-0.48536059546603294,0.48536059546603294
chrono_run_1.finalized,0.5732572078704835,0.3280787576471006,0.2932830469326625,1.5712811881608828,-0.6379828792791248,-0.0028736674492322,-6.367334895117092,0.0009336556461618517,1322.5290414829542,0.0,0.0,-0.17730342372605198,-0.00044179169191864464,-0.30447274707378413,-0.48221796249175475,0.48221796249175475
chrono_run_1.finalized,0.5857181549072267,0.32805930587444493,0.2932804714590447,1.5712796616257705,-0.7126525260236494,-0.0029546607019161,-5.992293083691691,-0.0016472948906380847,-4780.907258002138,0.0,0.0,-0.16686009095002072,-0.00044179169191864464,-0.3098393574559503,-0.4771412400978897,0.4771412400978897
chrono_run_1.finalized,0.5999462604522706,0.32804310692299243,0.2932809370850451,1.571282676101446,-0.7905846071893836,-0.0029411803768284,-5.477333642136253,-0.004134765007876573,2732.474021301756,0.0,0.0,-0.15252064225259895,-0.00044179169191864464,-0.31109027936682404,-0.4640527133113417,0.4640527133113417
chrono_run_1.finalized,0.6120567321777345,0.328039676024083,0.29328131889684617,1.5712851479715,-0.8519751748919578,-0.0029301265102565,-5.069213577658796,-0.004695825375818405,51373.413629359944,0.0,0.0,-0.14115621963071964,-0.00044179169191864464,-0.3110835122138188,-0.4526815235364571,0.4526815235364571
chrono_run_1.finalized,0.6262657642364503,0.3280535183388466,0.29327908149425974,1.571284926186247,-0.9159011903983778,-0.0030009571319561,-4.498970460637947,-0.0023223033348601235,-1326.9588718306422,0.0,0.0,-0.12527735372065935,-0.00044179169191864464,-0.3062133126779914,-0.4319324580905694,0.4319324580905694
chrono_run_1.finalized,0.6392676830291749,0.32806510239253583,0.2932772468277098,1.5712847443223394,-0.9680027525119117,-0.0030590382417497,-4.007221006693864,-0.0003409922961334494,2260.3014667514562,0.0,0.0,-0.11158420529421723,-0.00044179169191864464,-0.3006756958900565,-0.41270169287619235,0.41270169287619235
chrono_run_1.finalized,0.6526660919189454,0.3280653668906205,0.2932757424035399,1.5712845951939352,-1.0143404803732672,-0.0031066647517805,-3.458450047507784,-0.00010225777573921735,2437.213514899102,0.0,0.0,-0.09630324842484682,-0.00044179169191864464,-0.29195198412334533,-0.38869702424011077,0.38869702424011077
chrono_run_1.finalized,0.6662540435791017,0.32806432585557405,0.29327500239827,1.571283692641232,-1.0537600440711137,-0.0031297395650757,-2.901067407638458,-0.00016208782537474598,5183.233059361042,0.0,0.0,-0.08078249256668031,-0.00044179169191864464,-0.28134855768032113,-0.3625728419389201,0.3625728419389201
chrono_run_1.finalized,0.6793172359466554,0.3280722765550522,0.29327841567682983,1.5712820192217225,-1.0846279311083133,-0.0030208291772608,-2.3629665834110356,0.0005759863138486837,-4539.5662915117255,0.0,0.0,-0.06579865395651122,-0.00044179169191864464,-0.26963356160562024,-0.3358740072540501,0.3358740072540501
chrono_run_1.finalized,0.6932098865509034,0.32807613540136665,0.2932812145732044,1.571280647017725,-1.1057590511273114,-0.0029315226592526,-1.5210286806275053,0.0007818743476734752,4977.693846682702,0.0,0.0,-0.0423542340874183,-0.00044179169191864464,-0.24718976755963762,-0.28998579333897456,0.28998579333897456
chrono_run_1.finalized,0.7059280872344972,0.32807709537274793,0.2932794737684559,1.571279275228581,-1.1156470238539469,-0.0029861230492028,-0.7774663234706473,0.0011541045303173486,2768.5483370015468,0.0,0.0,-0.02164915828265336,-0.00044179169191864464,-0.2257100617542695,-0.2478010117288415,0.2478010117288415
chrono_run_1.finalized,0.7193329334259034,0.328080048644606,0.2932771333517166,1.5712852576081964,-1.1188916728917415,-0.0030628533026411,-0.24205044887982222,0.001918158844849055,-3773.671360232411,0.0,0.0,-0.006740084196565727,-0.00044179169191864464,-0.20945573780688095,-0.21663761369536533,0.21663761369536533
chrono_run_1.finalized,0.7325260639190675,0.3280777771522955,0.2932782736729604,1.5712927789718056,-1.1154660526880376,-0.0030298983094229,0.25965180936239574,0.0014397008986183069,13373.950078697193,0.0,0.0,0.007230207855396669,0.00044179169191864464,-0.25199809795497485,-0.24432609840765954,0.24432609840765954
chrono_run_1.finalized,0.7457818984985353,0.3280743077964235,0.29327920872688995,1.5712989464899652,-1.1047834991048262,-0.003002875214984,0.805875595321464,0.000806222507164292,7455.912917397741,0.0,0.0,0.022440236692645072,0.00044179169191864464,-0.2332305168181685,-0.2103484884336048,0.2103484884336048
