trajectory,t,tau_residual_target,tau_residual_pred,theta,omega,motor_input_a
chrono_run_2.finalized,13.867509365081789,0.010593812149234794,0.010792508487423226,0.019765356541547,-0.0336170075988106,5.1903564661838e-06
chrono_run_2.finalized,13.88033151626587,0.011053823929683375,0.01073648691637351,0.0193967057251471,-0.0289951058164112,4.2560923022707e-06
chrono_run_2.finalized,13.89412236213684,0.010822943498367344,0.010676199726338594,0.0190889761952957,-0.024454134997201,3.489995687862e-06
chrono_run_2.finalized,13.907033205032349,0.010633621988327274,0.0106267853592334,0.0188366379808176,-0.0207305389254486,2.8617964640468e-06
chrono_run_2.finalized,13.920659303665161,0.01110174840291738,0.010583003678630703,0.0187092472003644,-0.0179008956404567,2.3466731005184e-06
chrono_run_2.finalized,13.934245347976685,0.011320004842926017,0.010539892548722589,0.0186007219064765,-0.0151970930264317,1.9242719424251e-06
chrono_run_2.finalized,13.946951627731325,0.011498975177465237,0.010504545362813884,0.0185117311654884,-0.0129799748829312,1.5779029927886e-06
chrono_run_2.finalized,13.960574388504028,0.011492843066448707,0.010475927079311064,0.018438277369134,-0.0111779169721004,1.2938804540866e-06
chrono_run_2.finalized,13.974284887313843,0.011560928057847315,0.010454964918440137,0.0183718553531024,-0.0097961033281663,1.060981972351e-06
chrono_run_2.finalized,13.98702144622803,0.011616757770671702,0.01043777719317374,0.0183173892999564,-0.0086630161401404,8.700052173278001e-07
chrono_run_2.finalized,14.00081491470337,0.011657066650694669,0.010420006764715866,0.0183269262004913,-0.0078137793544286,7.134042782088001e-07
chrono_run_2.finalized,14.013165950775146,0.011690119932711077,0.010405435227748517,0.0183347464589299,-0.0071174051901449,5.849915081312e-07
chrono_run_2.finalized,14.028451442718504,0.011650388168451667,0.01039144966624575,0.0183392844513809,-0.0064345256494646,4.796930366676e-07
chrono_run_2.finalized,14.040495634078981,0.011555465049692366,0.010381452358539862,0.0183409176433687,-0.0059384802934652,3.933482900674e-07
chrono_run_2.finalized,14.054251670837402,0.011558998360772099,0.010369344495770469,0.0183433501324732,-0.0053399755413798,3.2254559785530004e-07
chrono_run_2.finalized,14.066954374313354,0.01156189559368806,0.01035941614838074,0.0183453447735388,-0.0048492016446698,2.644873902413e-07
chrono_run_2.finalized,14.080343246459961,0.011564270965765072,0.010351274970815734,0.0183469803792126,-0.0044467670493676,2.168796599979e-07
chrono_run_2.finalized,14.094522476196289,0.011426445195280467,0.010343569943945998,0.0183850466611417,-0.0042446023740272,1.7784132119819998e-07
chrono_run_2.finalized,14.10703706741333,0.011436873784378633,0.010333788239051615,0.0184160232943278,-0.0039030587469218,1.4582988338250002e-07
chrono_run_2.finalized,14.120422124862671,0.01132408932534289,0.010328478717080234,0.0184396173684546,-0.0037508247074123,1.195805043737e-07
chrono_run_2.finalized,14.133965969085693,0.011231603660508101,0.010324125006112898,0.0184589645092386,-0.0036259927950145,9.805601358645848e-08
chrono_run_2.finalized,14.147878885269165,0.01140464152254204,0.01031279167483198,0.0184764329301097,-0.0031401355065167,8.040593114089595e-08
chrono_run_2.finalized,14.160415172576904,0.011543489970573965,0.01030938033132532,0.0184889420706066,-0.0030293538492424,6.593286353553468e-08
chrono_run_2.finalized,14.174375057220459,0.011685742470588085,0.010306349315301694,0.0184983418480379,-0.0029225339234379,5.406494809913845e-08
chrono_run_2.finalized,14.187212705612183,0.011802356975590103,0.010303863899705782,0.0185060496655316,-0.0028349415842782,4.433325744129353e-08
chrono_run_2.finalized,14.200576305389404,0.011561576083192523,0.010301273444384187,0.018511529851117,-0.0027311579324881,3.635327110186069e-08
chrono_run_2.finalized,14.213973045349121,0.011357182224799072,0.010298273159509068,0.0185577163876917,-0.0028058450064162,2.980968230352577e-08
chrono_run_2.finalized,14.226985692977905,0.011189552935724757,0.010295813274792037,0.018595589347683,-0.0028670884070374,2.4443939488891132e-08
chrono_run_2.finalized,14.240188360214233,0.011454879170308296,0.010293858819091761,0.0186260018697594,-0.0029173079955467,2.004403038089073e-08
