#{"t_start": 1774919753.9932756, "env_id": "None"}
r,l,t
-185.381195,12,114.510791
-184.634575,12,114.997834
-185.084428,12,115.484953
-185.645281,12,116.147753
-183.585557,12,116.633691
-185.320844,12,117.116338
-185.204997,12,117.599219
-183.601975,12,118.214449
-184.913739,12,118.697695
-184.586263,12,119.179542
-184.707761,12,119.661597
-194.791796,12,120.295482
-185.821998,12,120.784021
-185.37571,12,121.275584
-184.867389,12,121.763603
-185.894442,12,122.363783
-184.515212,12,122.852796
-184.371094,12,123.362095
-184.424202,12,123.848498
-184.308977,12,124.445377
-185.10633,12,124.930696
-185.422352,12,125.455058
-185.117469,12,125.951499
-188.473852,12,126.62304
-185.508649,12,127.108902
-188.491255,12,127.596976
-184.598152,12,128.081835
-185.070141,12,128.692982
-185.577349,12,129.18418
-193.349236,12,129.676931
-185.600551,12,130.161522
-183.986321,12,130.749897
-183.596474,12,131.237062
-185.745938,12,131.725095
-185.276458,12,132.210546
-185.136494,12,132.803457
-185.261778,12,133.298396
-185.889336,12,133.786757
-188.758542,12,134.271209
-186.538119,12,134.859199
-185.929537,12,135.345678
-184.061996,12,135.83077
-187.107766,12,136.31568
-187.503723,12,137.031643
-185.432581,12,137.517987
-185.874909,12,138.005831
-184.942998,12,138.493201
-184.095829,12,139.130891
-185.857291,12,139.621946
-185.383076,12,140.110122
-184.704999,12,140.604503
-186.113462,12,141.210672
-185.212122,12,141.699424
-185.598495,12,142.187567
-184.981805,12,142.680081
-185.52334,12,143.287776
-190.886219,12,143.777882
-189.061844,12,144.268692
-185.153063,12,144.76137
-184.917346,12,145.352847
-191.432543,12,145.840127
-185.57443,12,146.326621
-184.855721,12,146.811097
-187.017513,12,147.400788
-186.364982,12,147.886662
-185.849964,12,148.373673
-186.578314,12,148.859192
-184.66921,12,149.544838
-185.323791,12,150.031131
-186.167823,12,150.521843
-186.409437,12,151.008899
-185.016297,12,151.652074
-185.249479,12,152.142986
-185.995259,12,152.631714
-185.038621,12,153.122077
-186.656933,12,153.754936
-185.645056,12,154.236406
-186.119782,12,154.721033
-189.060633,12,155.203125
-183.876903,12,155.791015
-185.122657,12,156.273871
-186.420766,12,156.756068
-184.96479,12,157.23701
-185.193801,12,157.862977
-185.154848,12,158.341185
-186.174096,12,158.824525
-186.337414,12,159.305264
-190.488563,12,159.899099
-188.736352,12,160.391
-186.402173,12,160.882467
-196.451016,12,161.376622
-184.944868,12,162.044171
-185.553228,12,162.525121
-185.813473,12,163.00824
-209.656781,12,163.488605
-213.843883,12,164.121181
-186.154979,12,164.605647
-184.512071,12,165.090053
-185.811238,12,165.57203
-185.389667,12,166.192534
-184.982235,12,166.675318
-185.940939,12,167.156864
-184.992186,12,167.641363
-186.082164,12,168.263059
-184.875036,12,168.745154
-184.845871,12,169.226002
-185.399992,12,169.706717
-185.119808,12,170.337996
-192.678387,12,170.824912
-186.761985,12,171.317662
-185.721167,12,171.809413
-188.405152,12,172.455301
-187.739988,12,172.936417
-184.711764,12,173.420844
-184.846174,12,173.910295
-188.723045,12,174.497915
-184.596162,12,174.978609
-184.832744,12,175.458851
-185.21319,12,175.941607
-185.073947,12,176.626931
-188.756395,12,177.111694
-185.426077,12,177.613319
-185.391411,12,178.106279
-184.545341,12,178.697851
-186.019283,12,179.178982
-185.024793,12,179.65962
-183.666049,12,180.14011
-186.604604,12,180.737103
-185.497362,12,181.22038
-184.238669,12,181.703323
-185.715962,12,182.1879
-184.02072,12,182.851521
-189.702064,12,183.332004
-184.473348,12,183.811737
-185.240499,12,184.291605
-183.903519,12,184.899883
-184.056436,12,185.379771
-184.210595,12,185.8606
-184.21257,12,186.338634
-186.441406,12,186.945292
-185.170975,12,187.425114
-185.115097,12,187.904997
-184.027655,12,188.3845
-186.886919,12,189.060671
-184.120147,12,189.543617
-185.204304,12,190.0273
-185.494487,12,190.510266
-192.819907,12,191.116644
-186.756035,12,191.598024
-184.458877,12,192.077526
-186.111005,12,192.558405
-192.766863,12,193.14822
-185.611376,12,193.627907
-185.876256,12,194.108619
-207.32504,12,194.589875
-192.213131,12,195.225863
-188.089729,12,195.708647
-184.971345,12,196.194719
-185.734353,12,196.676642
-184.928998,12,197.264941
-185.827244,12,197.751329
-188.73894,12,198.237834
-190.503529,12,198.723198
-182.542948,12,199.386309
-185.005256,12,199.868317
-184.455033,12,200.349436
-184.355752,12,200.829776
-184.757391,12,201.481577
-185.655622,12,201.970252
-183.959197,12,202.458248
-184.418821,12,202.949095
-185.880107,12,203.571582
-185.744915,12,204.067984
-185.176289,12,204.555834
-186.859721,12,205.042992
-186.008507,12,205.702995
-188.968407,12,206.191321
-186.348181,12,206.682493
-184.982853,12,207.163241
-184.947972,12,207.814231
-186.610372,12,208.297806
-187.082604,12,208.779911
-186.28385,12,209.261002
